danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.838,0.432,7,-13.943,1,0.0688,0.0378,4.48e-05,0.0583,0.91,142.013,audio_features,6IW777kFbRbgUz68XUiZXm,spotify:track:6IW777kFbRbgUz68XUiZXm,https://api.spotify.com/v1/tracks/6IW777kFbRbgUz68XUiZXm,https://api.spotify.com/v1/audio-analysis/6IW777kFbRbgUz68XUiZXm,115375,4
0.783,0.62,0,-7.987,0,0.0662,0.426,1.33e-06,0.152,0.827,101.992,audio_features,5gOyjqIifZ9NqVcaIIlqv7,spotify:track:5gOyjqIifZ9NqVcaIIlqv7,https://api.spotify.com/v1/tracks/5gOyjqIifZ9NqVcaIIlqv7,https://api.spotify.com/v1/audio-analysis/5gOyjqIifZ9NqVcaIIlqv7,124706,4
0.651,0.33,1,-11.079,1,0.28,0.757,1.61e-05,0.108,0.374,63.252,audio_features,2qiDXgq5fL1FetkhX5xi9L,spotify:track:2qiDXgq5fL1FetkhX5xi9L,https://api.spotify.com/v1/tracks/2qiDXgq5fL1FetkhX5xi9L,https://api.spotify.com/v1/audio-analysis/2qiDXgq5fL1FetkhX5xi9L,177413,4
0.828,0.619,5,-7.544,1,0.054,0.131,8.6e-05,0.104,0.737,124.004,audio_features,0DRJILxCmuHsrJpYYqXMed,spotify:track:0DRJILxCmuHsrJpYYqXMed,https://api.spotify.com/v1/tracks/0DRJILxCmuHsrJpYYqXMed,https://api.spotify.com/v1/audio-analysis/0DRJILxCmuHsrJpYYqXMed,149125,4
0.701,0.835,7,-5.57,1,0.19,0.0279,0,0.282,0.911,87.953,audio_features,6UumSbVp1ae6IfcOWDo1oL,spotify:track:6UumSbVp1ae6IfcOWDo1oL,https://api.spotify.com/v1/tracks/6UumSbVp1ae6IfcOWDo1oL,https://api.spotify.com/v1/audio-analysis/6UumSbVp1ae6IfcOWDo1oL,140355,4
0.467,0.469,0,-10.523,0,0.0374,0.443,0.000216,0.0874,0.576,199.752,audio_features,5TTyyKNJZHONhjtAiXL1nG,spotify:track:5TTyyKNJZHONhjtAiXL1nG,https://api.spotify.com/v1/tracks/5TTyyKNJZHONhjtAiXL1nG,https://api.spotify.com/v1/audio-analysis/5TTyyKNJZHONhjtAiXL1nG,196752,4
0.766,0.69,11,-5.387,0,0.0488,0.0147,5.39e-05,0.0691,0.843,97.015,audio_features,0TfMitxzrMd2NTLxNXL2Hu,spotify:track:0TfMitxzrMd2NTLxNXL2Hu,https://api.spotify.com/v1/tracks/0TfMitxzrMd2NTLxNXL2Hu,https://api.spotify.com/v1/audio-analysis/0TfMitxzrMd2NTLxNXL2Hu,141364,4
0.599,0.672,7,-6.194,1,0.0364,0.482,0,0.122,0.177,109.928,audio_features,7Je3ZS7wC2wdeORkmvF3GO,spotify:track:7Je3ZS7wC2wdeORkmvF3GO,https://api.spotify.com/v1/tracks/7Je3ZS7wC2wdeORkmvF3GO,https://api.spotify.com/v1/audio-analysis/7Je3ZS7wC2wdeORkmvF3GO,205983,4
0.819,0.386,10,-6.17,1,0.0695,0.688,0,0.119,0.778,87.984,audio_features,1NNUcz8YMp6OKElVufO1Sj,spotify:track:1NNUcz8YMp6OKElVufO1Sj,https://api.spotify.com/v1/tracks/1NNUcz8YMp6OKElVufO1Sj,https://api.spotify.com/v1/audio-analysis/1NNUcz8YMp6OKElVufO1Sj,95109,4
0.557,0.665,1,-5.97,1,0.0427,0.288,0,0.133,0.415,159.83,audio_features,1y90XHF7xM8e9OwQtb7kP9,spotify:track:1y90XHF7xM8e9OwQtb7kP9,https://api.spotify.com/v1/tracks/1y90XHF7xM8e9OwQtb7kP9,https://api.spotify.com/v1/audio-analysis/1y90XHF7xM8e9OwQtb7kP9,189047,4
0.661,0.714,3,-5.472,1,0.0274,0.323,0,0.198,0.488,95.002,audio_features,2GFWdqBUfWweThDEdgmHdo,spotify:track:2GFWdqBUfWweThDEdgmHdo,https://api.spotify.com/v1/tracks/2GFWdqBUfWweThDEdgmHdo,https://api.spotify.com/v1/audio-analysis/2GFWdqBUfWweThDEdgmHdo,150500,4
0.587,0.735,6,-7.947,1,0.0746,0.0312,6.42e-05,0.0826,0.305,121.936,audio_features,5MPi9e7z46wopyad10R6qx,spotify:track:5MPi9e7z46wopyad10R6qx,https://api.spotify.com/v1/tracks/5MPi9e7z46wopyad10R6qx,https://api.spotify.com/v1/audio-analysis/5MPi9e7z46wopyad10R6qx,225973,4
0.577,0.283,1,-9.235,1,0.0821,0.577,0,0.507,0.48,143.915,audio_features,0i7Ps1oPnc0IfUAeKiktY2,spotify:track:0i7Ps1oPnc0IfUAeKiktY2,https://api.spotify.com/v1/tracks/0i7Ps1oPnc0IfUAeKiktY2,https://api.spotify.com/v1/audio-analysis/0i7Ps1oPnc0IfUAeKiktY2,133253,4
0.654,0.566,5,-5.764,0,0.0497,0.161,0,0.24,0.877,143.94,audio_features,2t3QOhy2YqycnOFAHUKHtI,spotify:track:2t3QOhy2YqycnOFAHUKHtI,https://api.spotify.com/v1/tracks/2t3QOhy2YqycnOFAHUKHtI,https://api.spotify.com/v1/audio-analysis/2t3QOhy2YqycnOFAHUKHtI,127917,4
0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,audio_features,0sTlGEld0h8kIPZaKDYUf4,spotify:track:0sTlGEld0h8kIPZaKDYUf4,https://api.spotify.com/v1/tracks/0sTlGEld0h8kIPZaKDYUf4,https://api.spotify.com/v1/audio-analysis/0sTlGEld0h8kIPZaKDYUf4,195121,4
0.677,0.703,11,-5.631,0,0.046,0.0187,0,0.228,0.553,145.024,audio_features,4IXQ8NB0tRsc6axcnCwGth,spotify:track:4IXQ8NB0tRsc6axcnCwGth,https://api.spotify.com/v1/tracks/4IXQ8NB0tRsc6axcnCwGth,https://api.spotify.com/v1/audio-analysis/4IXQ8NB0tRsc6axcnCwGth,141214,4
0.806,0.437,5,-9.599,1,0.191,0.0279,0,0.457,0.803,114.918,audio_features,2ptbBxMTCbFBefVMXwrdSC,spotify:track:2ptbBxMTCbFBefVMXwrdSC,https://api.spotify.com/v1/tracks/2ptbBxMTCbFBefVMXwrdSC,https://api.spotify.com/v1/audio-analysis/2ptbBxMTCbFBefVMXwrdSC,143500,4
0.665,0.582,6,-7.011,0,0.0324,0.163,0,0.108,0.344,137.027,audio_features,2uFTnCmw9n08yGWU6qf1vk,spotify:track:2uFTnCmw9n08yGWU6qf1vk,https://api.spotify.com/v1/tracks/2uFTnCmw9n08yGWU6qf1vk,https://api.spotify.com/v1/audio-analysis/2uFTnCmw9n08yGWU6qf1vk,178686,4
0.577,0.532,4,-8.748,1,0.115,0.397,0,0.513,0.532,175.98,audio_features,0Im0tvxi3Sf9SnUWvNdbTg,spotify:track:0Im0tvxi3Sf9SnUWvNdbTg,https://api.spotify.com/v1/tracks/0Im0tvxi3Sf9SnUWvNdbTg,https://api.spotify.com/v1/audio-analysis/0Im0tvxi3Sf9SnUWvNdbTg,129886,4
0.676,0.537,5,-5.668,1,0.0482,0.0288,0,0.44,0.473,84.984,audio_features,4Qy4vfG2XbkOwGwLXt87nT,spotify:track:4Qy4vfG2XbkOwGwLXt87nT,https://api.spotify.com/v1/tracks/4Qy4vfG2XbkOwGwLXt87nT,https://api.spotify.com/v1/audio-analysis/4Qy4vfG2XbkOwGwLXt87nT,209165,4
0.656,0.885,9,-3.777,1,0.0253,0.0113,0,0.111,0.692,115.016,audio_features,4WQg48BzWnJROGVDsnZegi,spotify:track:4WQg48BzWnJROGVDsnZegi,https://api.spotify.com/v1/tracks/4WQg48BzWnJROGVDsnZegi,https://api.spotify.com/v1/audio-analysis/4WQg48BzWnJROGVDsnZegi,155853,4
0.53,0.782,9,-5.261,1,0.0849,0.00564,0,0.085,0.592,151.019,audio_features,5rqkwcjfJRDeYnA0yYu5LU,spotify:track:5rqkwcjfJRDeYnA0yYu5LU,https://api.spotify.com/v1/tracks/5rqkwcjfJRDeYnA0yYu5LU,https://api.spotify.com/v1/audio-analysis/5rqkwcjfJRDeYnA0yYu5LU,193170,4
0.652,0.621,3,-4.91,0,0.0386,0.635,0,0.069,0.747,80.033,audio_features,4NuS3N2ip2WkR74a3fr3K6,spotify:track:4NuS3N2ip2WkR74a3fr3K6,https://api.spotify.com/v1/tracks/4NuS3N2ip2WkR74a3fr3K6,https://api.spotify.com/v1/audio-analysis/4NuS3N2ip2WkR74a3fr3K6,154706,4
0.748,0.553,8,-6.772,1,0.0889,0.017,1.03e-06,0.138,0.635,92.946,audio_features,7hcNXgnBncyybhQVhTFNd7,spotify:track:7hcNXgnBncyybhQVhTFNd7,https://api.spotify.com/v1/tracks/7hcNXgnBncyybhQVhTFNd7,https://api.spotify.com/v1/audio-analysis/7hcNXgnBncyybhQVhTFNd7,140638,4
0.634,0.479,5,-7.07,1,0.0305,0.184,0.000106,0.108,0.215,83.495,audio_features,6QRZvirg2FzBXo1qfsJpsU,spotify:track:6QRZvirg2FzBXo1qfsJpsU,https://api.spotify.com/v1/tracks/6QRZvirg2FzBXo1qfsJpsU,https://api.spotify.com/v1/audio-analysis/6QRZvirg2FzBXo1qfsJpsU,184125,4
0.708,0.356,8,-9.656,1,0.0294,0.57,6.28e-06,0.103,0.445,84.017,audio_features,3te9LnEKicmjVZ5w5uURNy,spotify:track:3te9LnEKicmjVZ5w5uURNy,https://api.spotify.com/v1/tracks/3te9LnEKicmjVZ5w5uURNy,https://api.spotify.com/v1/audio-analysis/3te9LnEKicmjVZ5w5uURNy,178413,4
0.363,0.141,7,-15.064,1,0.0409,0.878,0,0.0991,0.218,79.341,audio_features,0plHBfV2PAWAFKGvhTfMLC,spotify:track:0plHBfV2PAWAFKGvhTfMLC,https://api.spotify.com/v1/tracks/0plHBfV2PAWAFKGvhTfMLC,https://api.spotify.com/v1/audio-analysis/0plHBfV2PAWAFKGvhTfMLC,149333,3
0.562,0.426,11,-8.578,1,0.0338,0.38,0,0.123,0.442,145.09,audio_features,565nq6yHIdPS05v42NpabQ,spotify:track:565nq6yHIdPS05v42NpabQ,https://api.spotify.com/v1/tracks/565nq6yHIdPS05v42NpabQ,https://api.spotify.com/v1/audio-analysis/565nq6yHIdPS05v42NpabQ,182069,4
0.634,0.149,8,-9.349,1,0.0296,0.827,0,0.122,0.256,92.962,audio_features,56OcHDP7SgOY8hf4glCEDH,spotify:track:56OcHDP7SgOY8hf4glCEDH,https://api.spotify.com/v1/tracks/56OcHDP7SgOY8hf4glCEDH,https://api.spotify.com/v1/audio-analysis/56OcHDP7SgOY8hf4glCEDH,193430,4
