id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3jpmSZzwaKECA5JKoEVGek,0.77,0.862,-9.127,0.482,0.111,0.74,0.0812,0.809,186.013
4AZqhWHFLMJ5O05vxodOIC,0.572,0.12,-21.246,0.0319,0.903,0.877,0.104,0.237,140.067
3xCl8LYxkNuZdGE4Aag0dW,0.156,0.939,-25.281,0.0661,0.544,0.0205,0.713,1e-05,133.538
3LXy3kjkRLoQHXG8WvxV4z,0.587,0.243,-10.732,0.0469,0.933,2.78e-06,0.117,0.421,93.787
4OfTlSorLzLrhFQVzIQ80e,0.355,0.978,-3.528,0.16,0.0775,0.00312,0.839,0.668,146.465
3mVFTZGjfus9XbxQhNai4y,0.738,0.405,-15.296,0.0326,0.965,0.794,0.128,0.602,100.026
2pydaff4kf72kKv6X9bpYX,0.623,0.888,-6.319,0.0398,0.0498,0.000266,0.174,0.428,125.999
4CbPFfORyZyiD54Sj5m0sB,0.402,0.512,-12.255,0.031,0.00719,0.0113,0.499,0.221,107.027
23fNZsKU9TN2l094MhH9zQ,0.732,0.501,-4.088,0.0763,0.653,0.000252,0.0807,0.785,133.864
02OpsjcQ7qVIQtPs4I43ai,0.27,0.949,-4.316,0.0791,0.00664,0.000111,0.0491,0.845,197.669
26ZXwyyui0YVpWZchlmB9h,0.576,0.646,-8.097,0.23,0.0308,0.0,0.179,0.323,88.057
7lxKnHuZ94kYAH7nNMQhaE,0.494,0.947,-7.164,0.0934,0.000287,0.017,0.278,0.679,168.15
1kd9FaIaJAx4ZkQOrJRuJm,0.577,0.541,-8.144,0.0243,0.642,0.786,0.127,0.318,105.018
1DI0kHkkSvrF36YF9ZE1Bt,0.381,0.371,-13.243,0.0373,0.0919,0.00441,0.473,0.222,119.895
1nixXgnENNSmm9lPg9rAiB,0.552,0.723,-6.387,0.0332,0.381,1.79e-05,0.208,0.688,127.728
4v7prkc928rArBPIwxGJKa,0.814,0.75,-8.918,0.0994,0.235,0.601,0.818,0.888,81.371
4jTlhnW8wp7ANU36iRgbQK,0.34,0.544,-9.185,0.0358,0.0109,0.901,0.042,0.249,127.019
0sYyc622vVq5sdb7Vqh6qH,0.285,0.579,-6.026,0.0299,0.173,0.693,0.123,0.568,95.708
3oywYN1lnXuhtAO9ne0vNd,0.289,0.998,-1.997,0.214,0.00273,0.0,0.262,0.239,175.585
1DycDBbvtA4LsvdGfRc9px,0.767,0.481,-7.58,0.0406,0.953,0.00118,0.159,0.926,136.919
5z1UEMrU0fIpmiEcGaTvaK,0.571,0.967,-4.632,0.0434,0.000508,0.0,0.0619,0.761,137.084
3vc9YY8MgZd6dCOEr1wnXa,0.57,0.452,-20.27,0.958,0.765,0.0,0.704,0.265,85.863
3CpJhKNzLH2aWfKMGvxyas,0.554,0.52,-5.129,0.0312,0.885,0.0,0.37,0.488,140.225
3GdogCZTpPHBODiiEJbqQm,0.87,0.72,-7.679,0.0413,0.17,0.0908,0.0686,0.832,92.006
4Tkp2fxT18Fw9UtowcBiKe,0.618,0.564,-7.754,0.0295,0.601,0.0227,0.0715,0.459,62.502
52o1Tg2RAlXcoKC1biaDpV,0.566,0.845,-4.867,0.0253,0.00241,5.85e-05,0.0921,0.393,103.51
03SfvJC9qOFw4bwOk5Lgu8,0.703,0.931,-6.877,0.053,0.0949,0.761,0.0986,0.817,91.052
0cbc6eHCe9C19WN02F0fQ1,0.674,0.581,-8.565,0.0348,0.0125,0.362,0.285,0.583,91.922
