id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6IW777kFbRbgUz68XUiZXm,0.838,0.432,-13.943,0.0688,0.0378,4.48e-05,0.0583,0.91,142.013
5gOyjqIifZ9NqVcaIIlqv7,0.783,0.62,-7.987,0.0662,0.426,1.33e-06,0.152,0.827,101.992
2qiDXgq5fL1FetkhX5xi9L,0.651,0.33,-11.079,0.28,0.757,1.61e-05,0.108,0.374,63.252
0DRJILxCmuHsrJpYYqXMed,0.828,0.619,-7.544,0.054,0.131,8.6e-05,0.104,0.737,124.004
6UumSbVp1ae6IfcOWDo1oL,0.701,0.835,-5.57,0.19,0.0279,0.0,0.282,0.911,87.953
5TTyyKNJZHONhjtAiXL1nG,0.467,0.469,-10.523,0.0374,0.443,0.000216,0.0874,0.576,199.752
0TfMitxzrMd2NTLxNXL2Hu,0.766,0.69,-5.387,0.0488,0.0147,5.39e-05,0.0691,0.843,97.015
7Je3ZS7wC2wdeORkmvF3GO,0.599,0.672,-6.194,0.0364,0.482,0.0,0.122,0.177,109.928
1NNUcz8YMp6OKElVufO1Sj,0.819,0.386,-6.17,0.0695,0.688,0.0,0.119,0.778,87.984
1y90XHF7xM8e9OwQtb7kP9,0.557,0.665,-5.97,0.0427,0.288,0.0,0.133,0.415,159.83
2GFWdqBUfWweThDEdgmHdo,0.661,0.714,-5.472,0.0274,0.323,0.0,0.198,0.488,95.002
5MPi9e7z46wopyad10R6qx,0.587,0.735,-7.947,0.0746,0.0312,6.42e-05,0.0826,0.305,121.936
0i7Ps1oPnc0IfUAeKiktY2,0.577,0.283,-9.235,0.0821,0.577,0.0,0.507,0.48,143.915
2t3QOhy2YqycnOFAHUKHtI,0.654,0.566,-5.764,0.0497,0.161,0.0,0.24,0.877,143.94
0sTlGEld0h8kIPZaKDYUf4,0.309,0.883,-3.825,0.0808,0.0673,0.00111,0.0849,0.312,159.488
4IXQ8NB0tRsc6axcnCwGth,0.677,0.703,-5.631,0.046,0.0187,0.0,0.228,0.553,145.024
2ptbBxMTCbFBefVMXwrdSC,0.806,0.437,-9.599,0.191,0.0279,0.0,0.457,0.803,114.918
2uFTnCmw9n08yGWU6qf1vk,0.665,0.582,-7.011,0.0324,0.163,0.0,0.108,0.344,137.027
0Im0tvxi3Sf9SnUWvNdbTg,0.577,0.532,-8.748,0.115,0.397,0.0,0.513,0.532,175.98
4Qy4vfG2XbkOwGwLXt87nT,0.676,0.537,-5.668,0.0482,0.0288,0.0,0.44,0.473,84.984
4WQg48BzWnJROGVDsnZegi,0.656,0.885,-3.777,0.0253,0.0113,0.0,0.111,0.692,115.016
5rqkwcjfJRDeYnA0yYu5LU,0.53,0.782,-5.261,0.0849,0.00564,0.0,0.085,0.592,151.019
4NuS3N2ip2WkR74a3fr3K6,0.652,0.621,-4.91,0.0386,0.635,0.0,0.069,0.747,80.033
7hcNXgnBncyybhQVhTFNd7,0.748,0.553,-6.772,0.0889,0.017,1.03e-06,0.138,0.635,92.946
6QRZvirg2FzBXo1qfsJpsU,0.634,0.479,-7.07,0.0305,0.184,0.000106,0.108,0.215,83.495
3te9LnEKicmjVZ5w5uURNy,0.708,0.356,-9.656,0.0294,0.57,6.28e-06,0.103,0.445,84.017
